observation,age,quantile_residual
0,12.29,-0.664597407741031
1,12.29,0.295314852490949
2,12.29,-1.27649876036781
3,12.43,-0.579709808689326
4,12.71,1.10903925653019
5,12.71,-1.36451655705513
6,12.71,1.26836266609512
7,12.86,-1.09683171503841
8,12.86,-1.28481812965919
9,12.86,-0.372390438287866
10,13,-0.827767888352856
11,13,-0.827767888352856
12,13.14,-1.8364761080547
13,13.14,-0.748182748776234
14,13.29,0.279704271806153
15,13.29,-1.386085812926
16,13.43,2.01623537050182
17,13.43,-0.784475688027763
18,13.43,-0.136514067301781
19,13.43,-0.136514067301781
20,13.43,0.174483807651008
21,13.57,-0.0797917259678275
22,13.57,0.807145277046418
23,13.71,-0.32937948291745
24,13.71,-0.176429995006643
25,13.86,0.440344421481786
26,13.86,1.12396042286947
27,14,0.753449613600108
28,14,-0.37828717394047
29,14,-0.37828717394047
30,14.29,0.275124919096271
31,14.29,-2.65799328859656
32,14.29,2.25092717355764
33,14.29,0.542738110365304
34,14.43,0.184469378048055
35,14.43,0.318054747529474
36,14.43,0.0492095126002947
37,14.57,1.1137330496473
38,14.57,0.617090330858808
39,14.71,-0.961489633370837
40,14.71,1.1407744200147
41,14.71,-0.961489633370837
42,14.71,-0.67482255361995
43,14.71,-1.25602720310543
44,14.86,-0.771159884908008
45,15,-0.172414994887311
46,15,1.52019851399926
47,15,1.29476407265093
48,15.14,-0.385139907927832
49,15.14,-1.06935539276406
50,15.29,0.406041777887673
51,15.29,-1.30419824725815
52,15.29,0.284100670561879
53,15.43,-0.427047460801835
54,15.43,1.46712270847295
55,15.57,0.124764889967974
56,15.71,-0.199975244372158
57,15.71,-2.11824431149471
58,15.86,-0.044115331484487
59,15.86,1.21448501126087
60,16,1.66077938751677
61,16.14,1.58600705296537
62,16.14,-0.695819003516281
63,16.14,0.164219569215771
64,16.29,0.42385248531432
65,16.29,0.648939050270437
66,16.29,0.537044311937728
67,16.29,0.19346990900913
68,16.43,0.576202121355674
69,16.43,0.120044167329676
70,16.43,-0.606439842472832
71,16.43,1.42868168539773
72,16.43,-1.66495583669902
73,16.57,0.0472035243044544
74,16.57,0.278423831647274
75,16.71,0.97692653530313
76,16.71,-0.882363946707575
77,16.71,1.28896416476542
78,16.71,-1.01107300452161
79,16.86,0.788631797998412
80,16.86,1.31063411978153
81,17,-0.301350597066233
82,17,-0.66701342405585
83,17,-0.918500072883533
84,17,-1.44122723954613
85,17,-0.421739320293116
86,17.14,1.27910895234297
87,17.14,0.322111478630184
88,17.29,0.012626266613054
89,17.29,-0.459225374647642
90,17.43,-0.653625178560649
91,17.43,-0.29141920358614
92,17.43,0.283875170939005
93,17.57,2.31906593786542
94,17.57,-0.726665653628061
95,17.57,1.27708270019272
96,17.57,1.07422022405484
97,17.71,0.907394535457877
98,17.71,2.52758426354794
99,17.71,-1.1804658755696
100,17.71,0.696583534437907
101,17.86,-2.51702738477323
102,17.86,-0.640373304991396
103,17.86,-0.162935643721621
104,17.86,0.18036660765518
105,18,-0.590661509797717
106,18,0.225671521638081
107,18,0.336855045040641
108,18.14,0.916418360921547
109,18.14,-0.184691111931181
110,18.14,0.706186621699169
111,18.29,-2.21030125143789
112,18.29,-0.505501419594243
113,18.29,-0.267193123830796
114,18.29,-0.267193123830796
115,18.29,0.843318036264093
116,18.29,0.304192847675616
117,18.43,-1.59996669861019
118,18.43,1.78158662671324
119,18.57,0.826452016598143
120,18.57,1.63148384945294
121,18.57,-0.526919125585743
122,18.71,0.442477676022672
123,18.86,-1.45062221791428
124,19,0.737988016752175
125,19,-0.509710931032659
126,19,-0.754786798210647
127,19.14,-0.338565694389146
128,19.14,-0.103512230590653
129,19.29,1.12694902426165
130,19.29,0.920903982844149
131,19.29,0.494606004820683
132,19.29,0.920903982844149
133,19.29,1.2282680438289
134,19.29,1.02450103156253
135,19.43,0.321667023522932
136,19.43,-0.367841724754783
137,19.43,-0.0169307756111256
138,19.43,0.431913736096563
139,19.57,0.0327841158962869
140,19.57,-1.70948078399277
141,19.57,0.146167428090278
142,19.57,0.36896899011554
143,19.57,0.36896899011554
144,19.57,-0.554977266621772
145,19.57,0.799373315910801
146,19.71,0.524328303798913
147,19.86,0.230398851353515
148,19.86,0.00595526612786565
149,20,1.50906570944456
150,20,-0.888555104132133
151,20,-0.057290075127948
152,20,1.50906570944456
153,20,0.278002503798342
154,20.14,-1.46184153218448
155,20.29,-1.28040693465449
156,20.29,1.37468068170566
157,20.29,0.465963860098692
158,20.29,-0.782742969678441
159,20.43,1.77975563961298
160,20.43,-0.723624654514699
161,20.57,1.44146373219095
162,20.57,0.959563775052304
163,20.57,0.75908677347352
164,20.71,-1.46288333716672
165,20.71,0.899152781159958
166,20.71,-0.724903989966421
167,20.71,0.283993983319146
168,20.71,0.389521643385719
169,20.71,0.799557772561054
170,20.86,-0.334333276008504
171,21,1.79353424412857
172,21,1.88065469329456
173,21,1.43545564200266
174,21.14,-1.15390242298703
175,21.14,0.511090693480102
176,21.14,0.907015497444926
177,21.14,-0.913683429436079
178,21.29,-0.520939281679222
179,21.29,-1.9859583582707
180,21.29,-1.22521435509687
181,21.29,-0.634665859598132
182,21.43,0.782975768694776
183,21.43,-0.029606988855104
184,21.43,1.78554932207848
185,21.57,0.228173861071141
186,21.57,-1.34249364526964
187,21.57,-0.635808257810979
188,21.57,-1.10091520102249
189,21.57,-0.193312664647145
190,21.86,0.608146167917806
191,21.86,-0.993279610249177
192,21.86,-0.103001666236784
193,21.86,-0.877076440143979
194,22,-1.78242034486413
195,22,1.02900834228347
196,22,0.651605204772454
197,22.14,-1.10842197655495
198,22.14,-1.10842197655495
199,22.29,-0.60622088643445
200,22.29,-0.068628003129721
201,22.43,0.185370939505566
202,22.43,-0.886899045132242
203,22.43,0.185370939505566
204,22.43,-0.886899045132242
205,22.43,0.579360398821212
206,22.57,-0.388702161219054
207,22.57,-1.05783337741852
208,22.57,-2.16306319899104
209,22.71,0.0795420761001885
210,22.71,1.55885355360565
211,22.71,-2.62198050023716
212,22.71,-0.998320665893796
213,22.86,-0.0863210937975688
214,22.86,0.791955456482321
215,22.86,0.791955456482321
216,23,1.19169582233484
217,23,-0.242595381733072
218,23,0.064908674591754
219,23,-0.670501219857768
220,23.14,-0.0884103219608055
221,23.14,-0.191109857373002
222,23.14,1.31539413398063
223,23.29,0.630054722257755
224,23.29,0.722654101218176
225,23.29,-0.464028960748887
226,23.43,0.944883790625887
227,23.43,0.944883790625887
228,23.43,0.29518282946092
229,23.43,-0.202736687400704
230,23.57,0.436415779471482
231,23.57,0.71536009859716
232,23.57,-0.784286014762745
233,23.57,-1.46580275497323
234,23.71,-0.202782223941039
235,23.86,-0.791639910863865
236,23.86,0.515652436595399
